DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 170.313 12 -99 -138 b_quark 0 4.18 107.1 -24 86 59
W+ 1 80.4 181.323 107 -103 -66 W- 1 80.4 250.484 -125 138 147
b_quark 0 4.18 64.0818 58 -14 23 b_quark 0 4.18 51.4827 -21 -44 16
b_quark 0 4.18 83.2254 -52 22 61 b_quark 0 4.18 153.361 19 -46 -145
W+ 1 80.4 162.829 -7 100 100 W- 1 80.4 111.692 -31 -69 -17
b_quark 0 4.18 124.296 38 -112 -38 b_quark 0 4.18 139.844 -119 73 7
b_quark 0 4.18 159.908 45 118 -98 b_quark 0 4.18 275.834 -105 -169 191
b_quark 0 4.18 162.86 -108 -71 99 b_quark 0 4.18 184.159 10 166 -79
b_quark 0 4.18 184.988 115 -23 -143 b_quark 0 4.18 125.839 -43 -63 100
b_quark 0 4.18 206.348 -84 -141 125 b_quark 0 4.18 139.995 22 124 -61
b_quark 0 4.18 150.876 -76 -53 -119 b_quark 0 4.18 230.155 123 112 159
tau+ 0 1.78 159.728 -105 119 18 tau- 0 1.78 139.112 40 -105 82
b_quark 0 4.18 151.929 132 -75 -4 b_quark 0 4.18 217.489 -198 32 84
b_quark 0 4.18 169.055 -27 -148 77 b_quark 0 4.18 211.356 98 187 -9
b_quark 0 4.18 158.125 71 -8 -141 b_quark 0 4.18 210.044 24 -26 207
b_quark 0 4.18 138.183 -68 62 103 b_quark 0 4.18 184.858 167 -35 -71
b_quark 0 4.18 103.012 -93 -37 -24 b_quark 0 4.18 155.085 147 -43 24
b_quark 0 4.18 189.036 -70 136 -111 b_quark 0 4.18 212.771 113 -142 111
W+ 1 80.4 119.855 -46 -59 48 W- 1 80.4 127.472 7 30 -94
tau+ 0 1.78 180.907 120 -132 -30 tau- 0 1.78 284.725 -160 228 -59
b_quark 0 4.18 171.034 -125 -73 -91 b_quark 0 4.18 216.863 200 64 54
b_quark 0 4.18 132.134 -23 -28 127 b_quark 0 4.18 92.647 31 -6 -87
b_quark 0 4.18 178.156 -53 -92 143 b_quark 0 4.18 116.157 7 105 -49
W+ 1 80.4 163.466 -9 76 -120 W- 1 80.4 106.213 0 -56 41
b_quark 0 4.18 181.842 -138 -89 -78 b_quark 0 4.18 249.328 189 149 65
b_quark 0 4.18 162.082 118 -80 77 b_quark 0 4.18 185.867 -62 133 -114
b_quark 0 4.18 125.11 -105 49 47 b_quark 0 4.18 176.384 153 -86 -17
W+ 1 80.4 171.677 73 92 -96 W- 1 80.4 258.769 -136 -176 105
W+ 1 80.4 201.162 -147 -27 108 W- 1 80.4 191.839 85 108 -107
W+ 1 80.4 216.428 122 103 122 W- 1 80.4 254.215 -70 -190 -131
b_quark 0 4.18 164.519 -138 81 -38 b_quark 0 4.18 165.649 135 -61 74
b_quark 0 4.18 176.243 122 -52 -116 b_quark 0 4.18 227.801 -164 98 124
b_quark 0 4.18 123.982 53 56 -97 b_quark 0 4.18 197.617 7 -31 195
b_quark 0 4.18 32.5956 -1 -30 12 b_quark 0 4.18 44.9497 25 17 33
W+ 1 80.4 197.995 -25 108 143 W- 1 80.4 137.321 -29 -76 -76
b_quark 0 4.18 156.711 104 -6 117 b_quark 0 4.18 104.611 -99 -6 -33
W+ 1 80.4 124.572 -41 -83 -22 W- 1 80.4 98.834 -54 -8 18
b_quark 0 4.18 130.52 81 16 101 b_quark 0 4.18 97.9105 -53 -54 -62
b_quark 0 4.18 141.409 -77 -51 107 b_quark 0 4.18 73.1196 36 28 -57
Z 1 91.2 169.114 11 135 44 Z 1 91.2 198.664 75 -87 -134
b_quark 0 4.18 153.465 -1 138 67 b_quark 0 4.18 280.54 45 -234 -148
b_quark 0 4.18 193.521 -86 119 126 b_quark 0 4.18 330.288 186 -206 -179
b_quark 0 4.18 183.422 33 124 -131 b_quark 0 4.18 182.766 5 -95 156
b_quark 0 4.18 202.172 -126 -98 -124 b_quark 0 4.18 139.081 134 -1 37
b_quark 0 4.18 132.085 -9 98 -88 b_quark 0 4.18 184.552 12 -63 173
b_quark 0 4.18 109.938 46 47 88 b_quark 0 4.18 147.029 -20 -52 -136
b_quark 0 4.18 115.167 -23 54 99 b_quark 0 4.18 192.879 -25 -152 -116
b_quark 0 4.18 135.821 -135 14 -3 b_quark 0 4.18 175.703 157 -78 -11
b_quark 0 4.18 139.755 -128 23 51 b_quark 0 4.18 241.194 219 -100 -14
b_quark 0 4.18 144.04 11 -100 103 b_quark 0 4.18 207.069 82 190 -6
b_quark 0 4.18 122.546 -10 116 -38 b_quark 0 4.18 97.8901 -59 -72 30
W+ 1 80.4 151.292 -82 26 95 W- 1 80.4 215.409 97 48 -168
b_quark 0 4.18 167.091 5 -129 106 b_quark 0 4.18 211.732 82 195 -8
b_quark 0 4.18 152.953 108 88 63 b_quark 0 4.18 74.1854 -29 -17 -66
b_quark 0 4.18 129.439 -94 -26 85 b_quark 0 4.18 99.4911 84 -35 -40
b_quark 0 4.18 43.709 -20 -38 7 b_quark 0 4.18 151.349 116 93 -28
b_quark 0 4.18 163.718 104 29 -123 b_quark 0 4.18 183.985 -120 -83 112
b_quark 0 4.18 112.461 5 34 -107 b_quark 0 4.18 174.34 70 14 159
W+ 1 80.4 122.618 -77 31 -41 W- 1 80.4 158.108 62 -7 121
b_quark 0 4.18 160.843 42 125 92 b_quark 0 4.18 206.537 32 -180 -96
b_quark 0 4.18 133.564 37 18 -127 b_quark 0 4.18 127.759 -35 62 106
b_quark 0 4.18 161.343 117 -54 97 b_quark 0 4.18 132.482 -43 111 -58
W+ 1 80.4 173.061 114 -17 -101 W- 1 80.4 211.164 -83 -31 174
W+ 1 80.4 156.809 -112 -35 66 W- 1 80.4 174.983 49 75 -127
b_quark 0 4.18 160.607 -150 51 -26 b_quark 0 4.18 130.075 91 -70 61
b_quark 0 4.18 131.998 -125 25 -34 b_quark 0 4.18 165.754 60 -96 121
b_quark 0 4.18 100.117 -6 -87 49 b_quark 0 4.18 125.437 -41 44 -110
b_quark 0 4.18 116.531 7 -108 -43 b_quark 0 4.18 219.917 84 157 129
b_quark 0 4.18 119.914 81 -76 45 b_quark 0 4.18 169.622 -13 116 -123
b_quark 0 4.18 203.134 111 -133 -106 b_quark 0 4.18 279.599 -158 135 187
b_quark 0 4.18 176.588 -131 78 -89 b_quark 0 4.18 197.799 189 19 55
b_quark 0 4.18 96.7805 63 -32 -66 b_quark 0 4.18 154.258 -131 76 29
b_quark 0 4.18 133.092 -12 64 116 b_quark 0 4.18 127.403 93 -13 -86
b_quark 0 4.18 150.035 93 100 62 b_quark 0 4.18 240.862 -162 -93 -152
b_quark 0 4.18 163.543 -118 -63 -94 b_quark 0 4.18 137.45 69 85 83
b_quark 0 4.18 91.9047 84 -37 2 b_quark 0 4.18 108.118 -6 106 20
W+ 1 80.4 119.98 -65 15 -59 W- 1 80.4 142.822 -29 18 113
b_quark 0 4.18 205.074 93 142 115 b_quark 0 4.18 255.052 -48 -207 -141
W+ 1 80.4 132.537 41 86 -45 W- 1 80.4 163.233 44 -127 46
W+ 1 80.4 173.644 104 74 86 W- 1 80.4 167.267 -48 21 -137
b_quark 0 4.18 181.671 147 83 67 b_quark 0 4.18 151.111 -56 -140 9
Z 1 91.2 173.475 -72 104 -76 Z 1 91.2 292.054 171 -171 136
tau+ 0 1.78 136.291 -110 -46 -66 tau- 0 1.78 241.305 204 15 128
tau+ 0 1.78 166.184 78 -47 -139 tau- 0 1.78 124.375 -29 111 48
b_quark 0 4.18 188.856 54 117 -138 b_quark 0 4.18 227.604 32 -79 211
b_quark 0 4.18 113.303 -52 30 96 b_quark 0 4.18 197.867 -7 -58 -189
Z 1 91.2 212.881 -134 -54 127 Z 1 91.2 169.975 51 87 -102
b_quark 0 4.18 101.042 48 88 -12 b_quark 0 4.18 109.433 -97 -50 -7
b_quark 0 4.18 186.074 75 105 -134 b_quark 0 4.18 280.825 4 -202 195
W+ 1 80.4 197.459 141 78 -81 W- 1 80.4 258.761 -132 -138 155
b_quark 0 4.18 22.4382 -14 13 -11 b_quark 0 4.18 40.6875 11 26 29
b_quark 0 4.18 152.933 121 9 -93 b_quark 0 4.18 58.8852 -44 -35 17
b_quark 0 4.18 178.652 85 143 -65 b_quark 0 4.18 173.48 -41 -166 29
b_quark 0 4.18 94.5223 -18 87 -32 b_quark 0 4.18 119.036 106 0 54
b_quark 0 4.18 139.077 131 -42 20 b_quark 0 4.18 170.395 -57 138 -82
W+ 1 80.4 181.1 -107 120 -22 W- 1 80.4 179.126 34 -135 79
W+ 1 80.4 111.221 69 -19 -28 W- 1 80.4 138.875 -89 50 49
W+ 1 80.4 185.09 33 112 119 W- 1 80.4 267.644 -67 -166 -182
b_quark 0 4.18 196.08 122 -65 -139 b_quark 0 4.18 208.124 -192 65 47
Z 1 91.2 176.803 -93 -82 -87 Z 1 91.2 262.708 145 107 168
b_quark 0 4.18 160.42 102 -88 -87 b_quark 0 4.18 218.958 -150 120 105
b_quark 0 4.18 169.17 -4 123 116 b_quark 0 4.18 265.866 -63 -167 -197
b_quark 0 4.18 169.787 -60 143 -69 b_quark 0 4.18 253.169 131 -190 104
b_quark 0 4.18 127.167 57 112 19 b_quark 0 4.18 177.19 -13 -157 81
b_quark 0 4.18 182.01 146 -87 65 b_quark 0 4.18 231.315 -163 162 -26
tau+ 0 1.78 233.778 -150 -135 118 tau- 0 1.78 260.325 69 202 -149
W+ 1 80.4 145.843 -117 -26 21 W- 1 80.4 114.268 78 -22 5
W+ 1 80.4 101.996 13 -17 -59 W- 1 80.4 166.584 -69 51 118
b_quark 0 4.18 187.327 -39 132 -127 b_quark 0 4.18 153.953 -8 -48 146
b_quark 0 4.18 151.903 77 102 -82 b_quark 0 4.18 150.278 -17 -31 146
b_quark 0 4.18 183.225 131 -128 3 b_quark 0 4.18 249.274 -216 110 58
W+ 1 80.4 137.496 68 -64 61 W- 1 80.4 110.105 -67 -27 -21
W+ 1 80.4 210.386 -149 -51 114 W- 1 80.4 278.313 193 -16 -183
W+ 1 80.4 188.311 -112 18 -127 W- 1 80.4 223.933 184 -85 51
b_quark 0 4.18 204.593 142 -61 134 b_quark 0 4.18 215.433 -151 123 -92
b_quark 0 4.18 120.845 -65 85 56 b_quark 0 4.18 116.647 49 -102 -28
W+ 1 80.4 167.084 77 -118 40 W- 1 80.4 141.524 -106 48 -5
b_quark 0 4.18 157.792 60 140 -41 b_quark 0 4.18 135.586 -86 -77 71
b_quark 0 4.18 135.216 97 -91 24 b_quark 0 4.18 91.9265 -86 19 26
b_quark 0 4.18 76.082 -47 9 59 b_quark 0 4.18 206.716 128 -101 -127
b_quark 0 4.18 143.932 97 -61 -87 b_quark 0 4.18 234.53 -155 161 71
b_quark 0 4.18 148.719 -110 -100 0 b_quark 0 4.18 115.302 62 28 93
tau+ 0 1.78 87.0412 -39 -54 -56 tau- 0 1.78 143.053 106 -24 93
b_quark 0 4.18 161.943 116 44 104 b_quark 0 4.18 199.814 -196 36 -14
b_quark 0 4.18 124.207 -44 -45 -107 b_quark 0 4.18 195.815 -47 -39 186
b_quark 0 4.18 181.415 -138 25 115 b_quark 0 4.18 138.98 104 -61 -69
W+ 1 80.4 169.225 10 -148 13 W- 1 80.4 197.71 76 143 -80
b_quark 0 4.18 108.326 -55 76 54 b_quark 0 4.18 70.3596 39 -46 -36
W+ 1 80.4 176.842 95 -122 -30 W- 1 80.4 175.095 -133 77 -24
W+ 1 80.4 195.513 78 -99 126 W- 1 80.4 217.502 -9 71 -189
b_quark 0 4.18 137.878 23 92 -100 b_quark 0 4.18 226.812 8 -139 179
b_quark 0 4.18 149.34 -60 102 91 b_quark 0 4.18 255.356 -2 -184 -177
b_quark 0 4.18 153.07 119 -6 96 b_quark 0 4.18 175.233 -100 33 -140
W+ 1 80.4 141.433 -103 11 53 W- 1 80.4 151.836 67 -110 1
b_quark 0 4.18 192.467 -131 -37 136 b_quark 0 4.18 153.553 74 -47 -126
tau+ 0 1.78 106.57 -37 24 97 tau- 0 1.78 88.8379 20 -33 -80
b_quark 0 4.18 156.791 81 86 103 b_quark 0 4.18 251.558 -128 -92 -196
b_quark 0 4.18 166.792 89 -141 0 b_quark 0 4.18 104.754 -46 94 2
b_quark 0 4.18 101.151 47 -42 79 b_quark 0 4.18 201.155 22 131 -151
b_quark 0 4.18 151.587 94 -93 74 b_quark 0 4.18 146.313 -67 130 1
b_quark 0 4.18 112.31 36 8 106 b_quark 0 4.18 211.299 -99 -77 -170
b_quark 0 4.18 143.107 -35 114 -79 b_quark 0 4.18 230.351 108 -202 24
b_quark 0 4.18 192.776 -99 88 140 b_quark 0 4.18 227.325 97 -117 -169
b_quark 0 4.18 125.533 29 -38 116 b_quark 0 4.18 169.028 -65 118 -102
b_quark 0 4.18 152.136 12 -22 150 b_quark 0 4.18 235.575 -110 23 -207
tau+ 0 1.78 138.301 -36 -38 128 tau- 0 1.78 74.9945 16 18 -71
b_quark 0 4.18 55.7088 -10 31 45 b_quark 0 4.18 96.8632 -40 -14 -87
b_quark 0 4.18 133.953 -69 -114 13 b_quark 0 4.18 159.055 85 130 34
b_quark 0 4.18 159.168 -81 -120 66 b_quark 0 4.18 212.703 160 140 -5
b_quark 0 4.18 143.977 130 26 -56 b_quark 0 4.18 236.71 -225 45 58
b_quark 0 4.18 190.128 137 71 111 b_quark 0 4.18 204.635 -79 -84 -169
b_quark 0 4.18 139.934 138 14 18 b_quark 0 4.18 132.327 -130 -8 23
W+ 1 80.4 162.939 70 76 97 W- 1 80.4 185.157 -73 -73 -131
b_quark 0 4.18 48.7183 -6 -32 -36 b_quark 0 4.18 158.185 19 88 130
W+ 1 80.4 129.248 46 -85 30 W- 1 80.4 124.198 -32 89 -4
b_quark 0 4.18 160.317 32 108 -114 b_quark 0 4.18 175.01 67 -29 159
Z 1 91.2 176.871 90 -15 121 Z 1 91.2 222.999 -119 -5 -165
b_quark 0 4.18 198.13 102 -103 -135 b_quark 0 4.18 283.693 -72 196 192
b_quark 0 4.18 167.307 -139 -83 -42 b_quark 0 4.18 104.611 89 43 -34
W+ 1 80.4 149.272 71 -61 -84 W- 1 80.4 203.856 -134 96 89
Z 1 91.2 150.344 -113 19 -34 Z 1 91.2 173.255 120 24 82
W+ 1 80.4 212.615 79 -116 -138 W- 1 80.4 305.663 -153 161 194
b_quark 0 4.18 105.563 91 -27 46 b_quark 0 4.18 216.378 -184 25 -111
b_quark 0 4.18 138.667 67 9 121 b_quark 0 4.18 154.543 -39 12 -149
b_quark 0 4.18 60.0539 41 -12 42 b_quark 0 4.18 162.716 -131 63 -73
b_quark 0 4.18 157.577 146 4 59 b_quark 0 4.18 214.13 -148 -59 -143
b_quark 0 4.18 240.091 -145 -149 120 b_quark 0 4.18 313.763 91 230 -193
b_quark 0 4.18 190.731 -143 -54 114 b_quark 0 4.18 175.634 173 15 -26
W+ 1 80.4 111.275 6 59 -49 W- 1 80.4 99.8256 -44 14 37
b_quark 0 4.18 165.344 -106 74 103 b_quark 0 4.18 130.267 50 -84 -86
W+ 1 80.4 202.3 131 62 116 W- 1 80.4 217.03 -143 5 -142
b_quark 0 4.18 96.3456 -36 -20 87 b_quark 0 4.18 91.5504 70 58 -10
tau+ 0 1.78 70.4001 52 43 -20 tau- 0 1.78 167.738 -143 -72 -50
Z 1 91.2 144.977 -26 -96 -53 Z 1 91.2 127.646 74 40 -30
Z 1 91.2 177.097 41 7 -146 Z 1 91.2 151.428 -71 -74 64
b_quark 0 4.18 142.641 -102 -95 30 b_quark 0 4.18 199.666 59 188 -32
b_quark 0 4.18 136.2 97 32 -90 b_quark 0 4.18 189.313 -187 23 18
b_quark 0 4.18 52.7491 -8 -45 -26 b_quark 0 4.18 191.203 -91 138 96
b_quark 0 4.18 185.328 128 -67 -116 b_quark 0 4.18 205.425 -142 57 137
b_quark 0 4.18 184.939 56 140 107 b_quark 0 4.18 273.858 -80 -225 -134
tau+ 0 1.78 161.889 -85 -136 -22 tau- 0 1.78 89.8508 67 59 10
b_quark 0 4.18 149.805 44 -142 18 b_quark 0 4.18 78.5842 -42 55 37
W+ 1 80.4 188.322 80 -149 20 W- 1 80.4 154.755 -99 50 72
b_quark 0 4.18 198.865 95 124 123 b_quark 0 4.18 236.098 -62 -200 -109
tau+ 0 1.78 117.359 -35 -97 56 tau- 0 1.78 153.919 -62 88 -110
b_quark 0 4.18 123.237 -107 -60 11 b_quark 0 4.18 138.598 132 38 -18
b_quark 0 4.18 141.218 -121 72 10 b_quark 0 4.18 152.877 103 -93 -64
b_quark 0 4.18 124.99 72 -86 55 b_quark 0 4.18 181.393 -121 17 -134
Z 1 91.2 221.805 -132 116 100 Z 1 91.2 215.989 163 -23 -106
W+ 1 80.4 220.157 106 112 135 W- 1 80.4 169.956 -31 -142 -36
b_quark 0 4.18 118.497 -58 -16 -102 b_quark 0 4.18 143.299 17 -8 142
b_quark 0 4.18 164.549 67 129 77 b_quark 0 4.18 268.93 -143 -224 -41
W+ 1 80.4 204.402 -140 104 -70 W- 1 80.4 205.512 105 -145 61
b_quark 0 4.18 71.3826 69 11 -14 b_quark 0 4.18 76.2724 30 70 0
b_quark 0 4.18 157.767 -112 -80 -77 b_quark 0 4.18 106.876 75 2 76
Z 1 91.2 173.477 -86 -50 109 Z 1 91.2 244.114 84 -37 -207
b_quark 0 4.18 167.408 122 -82 -80 b_quark 0 4.18 157.704 -84 129 34
b_quark 0 4.18 140.863 9 -140 -12 b_quark 0 4.18 114.819 -5 90 71
b_quark 0 4.18 66.5618 8 50 43 b_quark 0 4.18 173.814 45 -125 -112
b_quark 0 4.18 139.167 114 75 -27 b_quark 0 4.18 195.383 -173 -88 22
tau+ 0 1.78 174.634 -21 -143 -98 tau- 0 1.78 85.4703 2 53 67
W+ 1 80.4 225.438 97 -118 145 W- 1 80.4 312.292 -149 190 -181
b_quark 0 4.18 157.119 149 32 -38 b_quark 0 4.18 167.709 -155 22 -60
W+ 1 80.4 169.024 -48 100 99 W- 1 80.4 243.629 129 -189 -23
b_quark 0 4.18 127.509 66 -109 -2 b_quark 0 4.18 226.246 -163 120 101
W+ 1 80.4 161.506 -10 -56 -128 W- 1 80.4 227.985 -30 -42 207
b_quark 0 4.18 34.0216 4 -10 -32 b_quark 0 4.18 107.845 77 70 28
b_quark 0 4.18 167.495 49 56 -150 b_quark 0 4.18 126.105 -5 -86 92
tau+ 0 1.78 228.69 -130 -136 130 tau- 0 1.78 192.154 36 182 -50
W+ 1 80.4 220.602 -56 131 -148 W- 1 80.4 196.232 -7 -37 175
b_quark 0 4.18 69.9962 -11 69 0 b_quark 0 4.18 80.0217 -76 -13 21
Z 1 91.2 209.722 -24 143 -121 Z 1 91.2 249.286 20 -175 151
b_quark 0 4.18 172.341 48 74 -148 b_quark 0 4.18 175.407 -119 -110 67
W+ 1 80.4 103.914 -19 -47 42 W- 1 80.4 215.692 -59 143 -127
b_quark 0 4.18 111.586 -44 -93 -43 b_quark 0 4.18 129.933 91 50 78
b_quark 0 4.18 133.621 16 -66 -115 b_quark 0 4.18 146.757 72 120 44
b_quark 0 4.18 122.027 71 66 74 b_quark 0 4.18 164.898 -50 -143 -65
b_quark 0 4.18 191.657 111 137 75 b_quark 0 4.18 196.136 -108 -102 -128
b_quark 0 4.18 143.257 -125 64 -28 b_quark 0 4.18 197.044 180 -80 -3
b_quark 0 4.18 158.156 4 124 98 b_quark 0 4.18 188.996 -22 -163 -93
b_quark 0 4.18 118.167 37 111 -16 b_quark 0 4.18 150.092 -15 -109 102
b_quark 0 4.18 77.2235 35 25 64 b_quark 0 4.18 22.4159 14 17 0
W+ 1 80.4 133.915 -88 35 50 W- 1 80.4 101.406 17 -59 7
b_quark 0 4.18 135.527 30 17 -131 b_quark 0 4.18 127.324 -91 -32 83
W+ 1 80.4 167.881 -110 -98 -4 W- 1 80.4 169.021 42 138 -36
b_quark 0 4.18 170.785 -85 134 -63 b_quark 0 4.18 88.3316 -4 -37 80
W+ 1 80.4 234.574 142 -106 -131 W- 1 80.4 332.849 -228 118 196
b_quark 0 4.18 181.283 -114 -61 127 b_quark 0 4.18 235.804 141 139 -128
b_quark 0 4.18 226.474 -144 99 144 b_quark 0 4.18 277.888 242 -12 -136
W+ 1 80.4 125.053 1 73 62 W- 1 80.4 111.36 -49 -40 -44
W+ 1 80.4 185.54 -114 -87 -86 W- 1 80.4 207.126 20 111 154
W+ 1 80.4 194.176 -62 -120 -114 W- 1 80.4 278.889 -37 185 189
W+ 1 80.4 205.548 -33 139 124 W- 1 80.4 172.213 14 -94 -119
b_quark 0 4.18 75.3225 20 -30 -66 b_quark 0 4.18 39.8933 -26 -13 -27
b_quark 0 4.18 106.834 94 -16 48 b_quark 0 4.18 214.903 -170 25 -129
b_quark 0 4.18 150.205 -8 108 104 b_quark 0 4.18 104.262 81 -56 -34
b_quark 0 4.18 181.688 8 -148 105 b_quark 0 4.18 69.7027 -18 49 -46
b_quark 0 4.18 195.72 148 -103 -76 b_quark 0 4.18 350.169 -241 202 154
b_quark 0 4.18 104.29 -103 -13 9 b_quark 0 4.18 73.1743 21 60 36
tau+ 0 1.78 39.4483 8 20 -33 tau- 0 1.78 129.109 -39 4 123
Z 1 91.2 164.874 9 79 112 Z 1 91.2 176.619 -91 -14 -120
b_quark 0 4.18 97.1003 -13 91 -31 b_quark 0 4.18 137.664 54 -113 -57
b_quark 0 4.18 119.76 -47 100 -46 b_quark 0 4.18 83.3455 80 0 -23
W+ 1 80.4 192.554 84 -111 106 W- 1 80.4 202.075 -144 55 -103
b_quark 0 4.18 204.681 -150 -111 84 b_quark 0 4.18 190.899 102 161 10
b_quark 0 4.18 61.5424 56 -25 -3 b_quark 0 4.18 146.053 -107 53 84
Z 1 91.2 182.536 -95 -76 101 Z 1 91.2 124.111 50 65 -19
tau+ 0 1.78 203.401 134 57 -142 tau- 0 1.78 296.529 -206 -119 177
tau+ 0 1.78 168.595 126 56 -97 tau- 0 1.78 198.998 -197 -28 -2
b_quark 0 4.18 159.259 144 -67 11 b_quark 0 4.18 82.3801 -78 18 -19
b_quark 0 4.18 131.994 128 -11 -30 b_quark 0 4.18 38.6455 -32 16 14
b_quark 0 4.18 116.247 -110 -10 36 b_quark 0 4.18 207.749 177 98 47
b_quark 0 4.18 118.914 -111 -11 41 b_quark 0 4.18 179.562 95 -76 -132
b_quark 0 4.18 104.05 -89 38 38 b_quark 0 4.18 91.4684 74 -43 32
b_quark 0 4.18 106.205 77 2 -73 b_quark 0 4.18 101.777 -79 64 -2
b_quark 0 4.18 154.449 142 37 -48 b_quark 0 4.18 149.598 -88 -43 113
b_quark 0 4.18 130.765 35 104 71 b_quark 0 4.18 217.583 34 -140 -163
W+ 1 80.4 164.25 83 -13 -116 W- 1 80.4 210.856 -50 30 186
W+ 1 80.4 174.709 75 97 95 W- 1 80.4 214.838 9 -179 -87
b_quark 0 4.18 206.948 -115 104 137 b_quark 0 4.18 228.214 184 -28 -132
b_quark 0 4.18 202.908 -47 -143 -136 b_quark 0 4.18 251.967 26 235 87
b_quark 0 4.18 149.072 -102 -40 101 b_quark 0 4.18 229.426 157 -9 -167
b_quark 0 4.18 146.022 -126 23 70 b_quark 0 4.18 222.512 218 -17 -41
Z 1 91.2 203.208 104 148 16 Z 1 91.2 304.241 -190 -191 -108
W+ 1 80.4 198.064 13 114 140 W- 1 80.4 209.392 -66 -159 -88
b_quark 0 4.18 84.7731 82 2 -21 b_quark 0 4.18 163.995 -142 -28 -77
b_quark 0 4.18 93.3781 -83 -42 7 b_quark 0 4.18 31.8508 14 24 -15
b_quark 0 4.18 212.411 -124 139 -102 b_quark 0 4.18 105.463 53 -90 14
b_quark 0 4.18 90.0359 -48 67 36 b_quark 0 4.18 73.8002 -38 -41 -48
b_quark 0 4.18 147.321 -135 31 -50 b_quark 0 4.18 210.994 191 -44 78
b_quark 0 4.18 120.123 70 26 94 b_quark 0 4.18 157.713 -114 14 -108
b_quark 0 4.18 162.023 -83 -124 63 b_quark 0 4.18 94.5118 41 85 -3
b_quark 0 4.18 179.409 -115 -129 48 b_quark 0 4.18 229.189 39 210 -83
b_quark 0 4.18 187.1 136 -98 -83 b_quark 0 4.18 237.62 -51 198 121
b_quark 0 4.18 178.862 -149 98 13 b_quark 0 4.18 280.185 211 -163 86
b_quark 0 4.18 201.947 132 -45 -146 b_quark 0 4.18 327.822 -220 1 243
b_quark 0 4.18 133.654 -54 -59 -107 b_quark 0 4.18 225.065 125 -34 184
b_quark 0 4.18 178.613 -69 68 150 b_quark 0 4.18 122.534 104 -34 -55
b_quark 0 4.18 162.488 77 -134 -50 b_quark 0 4.18 205.892 15 193 70
b_quark 0 4.18 135.124 24 -103 84 b_quark 0 4.18 152.802 -59 125 -65
b_quark 0 4.18 111.348 -74 4 83 b_quark 0 4.18 72.6187 -26 -56 -38
b_quark 0 4.18 224.057 138 102 -144 b_quark 0 4.18 330.03 -183 -137 238
b_quark 0 4.18 105.515 54 -66 -62 b_quark 0 4.18 141.419 -139 -25 -6
b_quark 0 4.18 185.09 -31 -144 112 b_quark 0 4.18 215.774 4 155 -150
tau+ 0 1.78 141.436 -119 -52 56 tau- 0 1.78 204.236 187 68 -46
Z 1 91.2 120.613 -74 27 -5 Z 1 91.2 218.942 161 -89 76
W+ 1 80.4 145.321 -22 -69 97 W- 1 80.4 164.466 93 100 -44
W+ 1 80.4 116.457 73 -40 13 W- 1 80.4 153.053 -117 34 46
b_quark 0 4.18 143.141 46 134 20 b_quark 0 4.18 106.595 -50 -66 67
b_quark 0 4.18 173.042 -129 82 81 b_quark 0 4.18 228.306 204 -101 17
b_quark 0 4.18 99.0579 83 -41 35 b_quark 0 4.18 105.884 -49 93 -12
Z 1 91.2 226.222 37 141 -147 Z 1 91.2 183.525 -92 -50 120
b_quark 0 4.18 191.871 -148 -102 67 b_quark 0 4.18 210.588 100 133 -129
b_quark 0 4.18 205.238 -80 -128 -139 b_quark 0 4.18 226.624 50 140 171
b_quark 0 4.18 155.918 -57 38 -140 b_quark 0 4.18 144.477 -14 -134 52
b_quark 0 4.18 195.065 141 134 -14 b_quark 0 4.18 249.869 -122 -218 3
b_quark 0 4.18 192.1 140 34 -127 b_quark 0 4.18 239.83 -96 -18 219
Z 1 91.2 116.462 34 -11 63 Z 1 91.2 121.332 42 4 -68
b_quark 0 4.18 209.789 -67 144 -137 b_quark 0 4.18 246.492 -30 -204 135
W+ 1 80.4 153.422 -107 0 -75 W- 1 80.4 134.112 61 45 76
W+ 1 80.4 177.916 -49 -42 -145 W- 1 80.4 112.611 42 -22 63
b_quark 0 4.18 164.68 -110 -119 -29 b_quark 0 4.18 200.211 105 151 79
W+ 1 80.4 156.289 -76 -75 81 W- 1 80.4 185.64 154 41 -51
b_quark 0 4.18 188.166 134 132 -3 b_quark 0 4.18 98.4453 -52 -69 -47
b_quark 0 4.18 202.609 130 -142 63 b_quark 0 4.18 219.006 -89 200 5
b_quark 0 4.18 187.557 -140 -82 -94 b_quark 0 4.18 236.75 177 152 40
b_quark 0 4.18 90.8266 -82 22 -32 b_quark 0 4.18 70.8341 -6 -70 8
W+ 1 80.4 146.554 -94 47 63 W- 1 80.4 188.707 164 -27 -39
b_quark 0 4.18 149.457 60 -84 108 b_quark 0 4.18 188.954 -45 170 -69
b_quark 0 4.18 47.2702 31 -34 -10 b_quark 0 4.18 182.897 -93 124 97
b_quark 0 4.18 77.3852 -69 -11 33 b_quark 0 4.18 197.716 139 68 -123
b_quark 0 4.18 69.7888 -14 39 56 b_quark 0 4.18 134.482 -12 32 -130
